geo_id,city,state,ibge_municipio_id,population_estimate,ev_fleet_bev_count,ev_fleet_phev_count,chargepoints_count,frota_total,cobertura_por_1000_evs,frota_norm,populacao_norm,cobertura_norm,expansion_score,expansion_score_0_100
G3302270,Japeri,RJ,3302270,102171,19,12,46,31,1483.8709677419356,0.0008256098860125705,0.008504599577168368,0.35894734360818864,-0.06805738493636536,13.66356258909692
G3302304,Laje do Muriaé,RJ,3302304,7584,4,0,46,4,761.8113971285813,0.00010653030787258975,0.0005588024021110835,0.18424087793944513,-0.03658204250389556,16.95268106646565
G3302403,Macaé,RJ,3302403,264439,262,159,46,421,109.26365795724466,0.011212314903590072,0.022135950777673677,0.026353199650087072,0.008068666342488085,21.61860239232072
G3302452,Macuco,RJ,3302452,5602,1,1,46,2,761.8113971285813,5.3265153936294876e-05,0.0003923041518128022,0.18424087793944513,-0.036669947865589386,16.94349510923493
G3302502,Magé,RJ,3302502,244142,86,42,46,128,359.375,0.003408969851922872,0.02043089780779264,0.08686907724566872,-0.00783786838524754,19.956397210720183
G3302601,Mangaratiba,RJ,3302601,43660,56,32,46,88,522.7272727272727,0.0023436667731969747,0.003589372976157904,0.1263930990696524,-0.022905403914188528,18.381865984476082
G3302700,Maricá,RJ,3302700,212470,363,158,46,521,88.29174664107485,0.013875572600404815,0.017770286009887913,0.02127892509784476,0.00840255842454814,21.65349353350233
G3302809,Mendes,RJ,3302809,18048,4,6,46,10,761.8113971285813,0.00026632576968147435,0.0014378325187211823,0.18424087793944513,-0.03616651227252796,16.996103252096475
G3302858,Mesquita,RJ,3302858,178830,81,37,46,118,389.8305084745763,0.0031426440822413977,0.014944352034088625,0.09423796267047925,-0.01161279408756384,19.561924047963604
G3302908,Miguel Pereira,RJ,3302908,28142,24,15,46,39,1179.4871794871794,0.0010386705017577502,0.002285780721804357,0.28529993553120725,-0.05573020661681661,14.951731258639985
G3303005,Miracema,RJ,3303005,28416,6,7,46,13,761.8113971285813,0.0003462235005859167,0.00230879813884862,0.18424087793944513,-0.03578616693211521,17.035848677888637
G3303104,Natividade,RJ,3303104,15551,4,4,46,8,761.8113971285813,0.0002130606157451795,0.0012280716050002902,0.18424087793944513,-0.036271722699590836,16.985108945667346
G3303203,Nilópolis,RJ,3303203,155500,64,21,46,85,541.1764705882352,0.0022637690422925324,0.012984511378458503,0.1308569885933023,-0.02007208555036005,18.677942819945958
G3303302,Niterói,RJ,3303302,516787,1013,803,46,1816,25.330396475770925,0.04836475977415575,0.04333448784440965,0.006045064335125899,0.03547068618040098,24.482065751280963
G3303401,Nova Friburgo,RJ,3303401,203417,148,71,46,219,210.0456621004566,0.0058325343560242885,0.017009787190538597,0.05073798514904073,-0.0010106684111829932,20.669827720064603
G3303500,Nova Iguaçu,RJ,3303500,843220,435,261,46,696,66.0919540229885,0.018536273569830616,0.07075654805612452,0.01590755760306815,0.03253561712976842,24.175356146214686
G3303609,Paracambi,RJ,3303609,43627,32,33,46,65,707.6923076923077,0.0017311175029295835,0.003586600805491989,0.17114645301188622,-0.03210220327900862,17.42081646489158
G3303708,Paraíba do Sul,RJ,3303708,44479,18,16,46,34,1352.9411764705883,0.0009055076169170129,0.0036581732117756094,0.32726812763389884,-0.06362815319530273,14.126409593584109
G3303807,Paraty,RJ,3303807,47668,0,0,46,0,761.8113971285813,0.0,0.00392606570430902,0.18424087793944513,-0.03527774930616542,17.088977434511992
G3303856,Paty do Alferes,RJ,3303856,31370,14,12,46,26,761.8113971285813,0.0006924470011718334,0.0025569494160338486,0.18424087793944513,-0.03554841702100675,17.060693129614535
G3303906,Petrópolis,RJ,3303906,294926,367,213,46,580,79.3103448275862,0.015446894641525514,0.024697016447120548,0.019105823277100854,0.012236399780038255,22.054123279427973
G3303955,Pinheiral,RJ,3303955,25096,27,14,46,41,1121.9512195121952,0.0010919356556940449,0.0020299009688232446,0.271378779126412,-0.05302702117547549,15.234209430305473
G3304003,Piraí,RJ,3304003,29066,14,7,46,21,761.8113971285813,0.0005592841163310962,0.0023634015004499733,0.18424087793944513,-0.0356791013411766,17.047036845712455
G3304102,Porciúncula,RJ,3304102,17832,10,3,46,13,761.8113971285813,0.0003462235005859167,0.001419687401635194,0.18424087793944513,-0.03614181122700058,16.99868446834309
G3304110,Porto Real,RJ,3304110,21089,6,2,46,8,761.8113971285813,0.0002130606157451795,0.001693292245843823,0.18424087793944513,-0.036085634443253425,17.004554844426156
G3304128,Quatis,RJ,3304128,14165,5,1,46,6,761.8113971285813,0.00015979546180888463,0.0011116404370318652,0.18424087793944513,-0.036339601228352725,16.978015757606045
G3304144,Queimados,RJ,3304144,149135,40,38,46,78,589.7435897435897,0.0020773410035155003,0.012449818460623709,0.14260808238205594,-0.022710752690755502,18.402206698386014
G3304151,Quissamã,RJ,3304151,23142,4,0,46,4,761.8113971285813,0.00010653030787258975,0.001865754863332406,0.18424087793944513,-0.036059261519407027,17.00731076904593
G3304201,Resende,RJ,3304201,137697,331,93,46,424,108.49056603773585,0.011292212634494514,0.011488967306783275,0.02616614561411644,0.003879242853687827,21.180814932625903
G3304300,Rio Bonito,RJ,3304300,59126,27,18,46,45,1022.2222222222222,0.0011984659635666348,0.004888596961583343,0.24724877469143358,-0.04701492976822673,15.862462513735391
G3304409,Rio Claro,RJ,3304409,17951,13,2,46,15,761.8113971285813,0.0003994886545222116,0.0014296840170668265,0.18424087793944513,-0.03611650651925341,17.001328766240537
G3304508,Rio das Flores,RJ,3304508,9267,5,2,46,7,761.8113971285813,0.00018642803877703208,0.0007001831060727421,0.18424087793944513,-0.03649353112994912,16.96193035092154
G3304524,Rio das Ostras,RJ,3304524,168455,160,99,46,259,177.60617760617762,0.006897837434750187,0.014072798377759328,0.04288906531643284,-0.00018955873828276244,20.755632251115433
G3304557,Rio de Janeiro,RJ,3304557,6730729,7932,5916,46,13848,3.3217793183131135,0.36880792585490574,0.565337752453392,0.0007199528424969152,0.3735142807548197,59.807032761770735
G3304607,Santa Maria Madalena,RJ,3304607,10580,0,0,46,0,761.8113971285813,0.0,0.0008104818965074765,0.18424087793944513,-0.03652398282928603,16.95874820136523
G3304706,Santo Antônio de Pádua,RJ,3304706,43697,12,12,46,24,761.8113971285813,0.0006391818472355385,0.0035924811675105963,0.18424087793944513,-0.03515551038199057,17.101751189238243
G3304755,São Francisco de Itabapoana,RJ,3304755,47397,12,2,46,14,761.8113971285813,0.00037285607755406416,0.00390330030277984,0.18424087793944513,-0.03513771303575546,17.103610980929965
G3304805,São Fidélis,RJ,3304805,41212,5,5,46,10,761.8113971285813,0.00026632576968147435,0.0033837283158500366,0.18424087793944513,-0.03538815395367642,17.077440341090533
G3304904,São Gonçalo,RJ,3304904,960196,353,139,46,492,93.49593495934958,0.01310322786832854,0.08058313702024751,0.02253810839069692,0.032966924277291046,24.220426992111964
G3305000,São João da Barra,RJ,3305000,38740,16,10,46,26,761.8113971285813,0.0006924470011718334,0.0031760675314215043,0.18424087793944513,-0.03530076977485169,17.086571835618948
G3305109,São João de Meriti,RJ,3305109,466503,164,55,46,219,210.0456621004566,0.0058325343560242885,0.03911037179092893,0.05073798514904073,0.007829565428973142,21.593616763195794
G3305133,São José de Ubá,RJ,3305133,7318,0,0,46,0,761.8113971285813,0.0,0.0005364570264403757,0.18424087793944513,-0.03663359277731287,16.947294152656085
G3305158,São José do Vale do Rio Preto,RJ,3305158,22813,15,6,46,21,761.8113971285813,0.0005592841163310962,0.0018381171618449517,0.18424087793944513,-0.03588921507661861,17.02508032622187
G3305208,São Pedro da Aldeia,RJ,3305208,110677,100,54,46,154,298.7012987012987,0.004101416853094705,0.009219147567600852,0.07218872628247479,-0.009109519488216736,19.82351188473791
G3305307,São Sebastião do Alto,RJ,3305307,7993,0,0,46,0,761.8113971285813,0.0,0.0005931605173340891,0.18424087793944513,-0.03661091138095539,16.949664319081183
G3305406,Sapucaia,RJ,3305406,18291,9,6,46,15,761.8113971285813,0.0003994886545222116,0.0014582457754429192,0.18424087793944513,-0.036105081815902974,17.002522627847252
G3305505,Saquarema,RJ,3305505,95315,51,46,46,97,474.2268041237113,0.0025833599659103013,0.00792866012003163,0.11465813176521188,-0.018726818318665604,18.818520903195033
G3305554,Seropédica,RJ,3305554,84794,58,17,46,75,613.3333333333333,0.0019974432726110576,0.007044841708634951,0.14831575650802198,-0.026046237309105994,18.05365436372171
G3305604,Silva Jardim,RJ,3305604,22028,13,3,46,16,761.8113971285813,0.000426121231490359,0.0017721731020648554,0.18424087793944513,-0.03596885785446694,17.016757794615682
G3305703,Sumidouro,RJ,3305703,15693,2,0,46,2,761.8113971285813,5.3265153936294876e-05,0.0012400003393808936,0.18424087793944513,-0.036330869390562154,16.97892821945074
G3305752,Tanguá,RJ,3305752,32865,4,4,46,8,761.8113971285813,0.0002130606157451795,0.002682537147716962,0.18424087793944513,-0.03568993648250417,17.045904592310546
G3305802,Teresópolis,RJ,3305802,176735,137,96,46,233,197.42489270386267,0.006205390433578353,0.014768361199388878,0.047684317411590495,-0.0011473628291312071,20.65554339140984
G3305901,Trajano de Moraes,RJ,3305901,10654,0,0,46,0,761.8113971285813,0.0,0.0008166982792128613,0.18424087793944513,-0.03652149627620388,16.959008041832572
G3306008,Três Rios,RJ,3306008,82319,103,74,46,177,259.8870056497175,0.004713966123362097,0.006836928908691335,0.06279738485795437,-0.007939118958769503,19.945816702090934
G3306107,Valença,RJ,3306107,71449,33,29,46,62,741.9354838709678,0.001651219772025141,0.005923792692373313,0.17943178642054664,-0.03285635229834995,17.3420092055416
